種類,位置,比例
灰塵,,0.0
毛髮,"正下, 左下",0.52
橘皮,,0.0
溢漆,,0.0
紅色記號,"正下, 左下, 左上, 正上",1.88
刮傷,,0.0
觸摸痕,"正下, 左下, 左上, 正上",3.58
