種類,位置,比例
灰塵,"正下, 左下, 左上",6.46
毛髮,,0.0
橘皮,,0.0
溢漆,,0.0
紅色記號,"正下, 左下",1.29
刮傷,正下,0.15
觸摸痕,"正下, 左下, 左上",2.06
